 ,Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
28,AMNH3_8bit_trimmed.tif,0,28,134.616,64.839,43.763,1.800,64.839,43.763,1.264,7.126,11.162,2248.988,5612.374,20.392,502.794,315.610,701.658,14.191,22.052,1.863,113.641,4.325,3.225,0.871,1.361,2.932,5580.737,2280.625,498.133,300.217,11.203,7.597,14.862,21.995
29,AMNH3_8bit_trimmed.tif,0,29,126.963,64.943,43.495,1.800,64.943,43.495,1.240,7.228,11.397,2054.842,5276.993,18.926,463.017,284.297,639.158,14.199,21.894,1.859,115.285,4.753,3.252,1.136,1.361,2.932,5229.652,2102.183,455.913,270.181,11.471,7.781,14.888,21.825
30,AMNH3_8bit_trimmed.tif,0,30,132.626,65.072,43.713,1.800,65.072,43.713,1.240,7.163,11.191,1941.048,5318.955,19.775,475.308,270.965,643.488,13.960,21.772,1.861,102.994,4.102,3.090,1.063,1.361,2.932,5269.646,1990.357,467.353,259.935,11.276,7.657,14.711,21.719
31,AMNH3_8bit_trimmed.tif,0,31,129.876,65.176,43.397,1.800,65.176,43.397,1.270,7.292,11.380,1902.035,4804.752,19.743,422.221,260.831,584.616,3.211,4.869,2.561,15.038,4.265,2.819,1.080,1.361,2.932,4780.518,1926.270,416.969,258.784,11.465,7.444,4.114,3.933
32,AMNH3_8bit_trimmed.tif,0,32,120.718,65.261,43.217,1.800,65.261,43.217,1.247,7.543,11.286,1960.174,4225.898,18.079,374.424,259.871,542.361,14.281,21.212,1.857,126.602,4.551,2.954,1.128,1.361,2.932,4196.258,1989.814,368.079,261.426,11.400,7.611,14.430,21.150
33,AMNH3_8bit_trimmed.tif,0,33,116.624,65.388,43.397,1.800,65.388,43.397,1.241,7.655,11.027,1973.873,3992.699,17.397,362.097,257.841,535.195,2.879,8.970,1.888,23.470,3.824,2.806,0.905,1.361,2.932,3963.562,2003.010,356.220,256.926,11.127,7.796,3.511,8.918
34,AMNH3_8bit_trimmed.tif,0,34,115.621,65.387,43.553,1.800,65.387,43.553,1.232,7.651,10.901,2024.587,3871.040,17.139,355.102,264.606,533.381,14.416,20.846,1.862,123.370,3.756,2.741,0.893,1.361,2.932,3840.252,2055.374,347.662,262.989,11.046,7.815,14.626,20.777
35,AMNH3_8bit_trimmed.tif,0,35,115.702,65.283,43.606,1.800,65.283,43.606,1.224,7.577,10.882,2063.761,3868.255,17.056,355.467,272.384,535.269,5.779,11.849,2.625,34.661,3.616,2.752,0.885,1.361,2.932,3834.471,2097.545,346.674,272.028,11.061,7.711,9.081,9.907
36,AMNH3_8bit_trimmed.tif,0,36,121.333,65.400,43.721,1.800,65.400,43.721,1.214,7.914,10.794,2096.603,4038.150,17.756,374.121,264.918,554.628,3.176,8.890,1.906,23.246,3.949,2.838,1.024,1.361,2.932,3996.365,2138.388,362.591,271.627,11.022,7.873,3.840,8.820
37,AMNH3_8bit_trimmed.tif,0,37,125.992,65.321,43.959,1.800,65.321,43.959,1.238,7.707,10.708,2177.030,4284.234,18.761,400.097,282.476,591.116,14.625,20.716,1.883,75.829,3.850,2.935,1.037,1.361,2.932,4252.477,2208.786,390.956,284.892,10.877,7.753,14.731,20.645
