PercentOfBone,A,normA,IAP,IML,normIAP,normIML
0.479472140762463,7.29076,2.70014073707279,8.15752,4.5782,1.69001102114868,1.46276206957704
0.480938416422287,7.2585,2.69416035157524,8.1159,4.5782,1.68785125824329,1.46276206957704
0.482404692082111,7.29076,2.70014073707279,8.07428,4.95278,1.68568317251217,1.49180569008632
0.483870967741935,7.271404,2.69655409736204,8.07428,5.11926,1.68568317251217,1.50418688182187
0.48533724340176,7.271404,2.69655409736204,8.1159,4.9944,1.68785125824329,1.49492990759448
0.486803519061584,7.206884,2.68456402419462,8.15752,4.61982,1.69001102114868,1.46607525517047
0.488269794721408,7.219788,2.68696631910413,8.19914,4.5782,1.69216253539791,1.46276206957704
0.489736070381232,7.22624,2.68816666149999,8.24076,4.5782,1.69430587412719,1.46276206957704
0.491202346041056,7.219788,2.68696631910413,8.24076,4.5782,1.69430587412719,1.46276206957704
0.49266862170088,7.187528,2.68095654571274,8.24076,4.53658,1.69430587412719,1.45942621646471
0.494134897360704,7.16172,2.67613900984235,8.24076,4.53658,1.69430587412719,1.45942621646471
0.495601173020528,7.135912,2.67131278587888,8.19914,4.49496,1.69216253539791,1.45606733064025
0.497067448680352,7.110104,2.66647782664698,8.19914,4.45334,1.69216253539791,1.45268503757882
0.498533724340176,7.090748,2.66284584608272,8.24076,4.41172,1.69430587412719,1.44927895309579
0.5,7.058488,2.65678151152856,8.24076,4.3701,1.69430587412719,1.44584868300369
0.501466275659824,7.039132,2.65313625733772,8.28238,4.32848,1.69644110945882,1.44239382275379
0.502932551319648,7.432704,2.72629858966328,8.90668,4.41172,1.72754338254673,1.44927895309579
0.504398826979472,7.4198,2.72393098297295,8.90668,4.3701,1.72754338254673,1.44584868300369
0.505865102639296,7.426252,2.72511504344312,8.90668,4.3701,1.72754338254673,1.44584868300369
0.50733137829912,7.413348,2.72274640758187,8.90668,4.3701,1.72754338254673,1.44584868300369
0.508797653958944,7.400444,2.72037570934605,8.90668,4.3701,1.72754338254673,1.44584868300369
0.510263929618768,7.400444,2.72037570934605,8.9483,4.3701,1.72955801382092,1.44584868300369
